Orders,State,Pop_2019,Proportion
1,Kano,14253549,7.1
2,Lagos,12772884,6.4
3,Katsina,9300382,4.6
4,Kaduna,8324285,4.1000000000000005
5,Bauchi,7540663,3.6999999999999997
6,Oyo,7512855,3.6999999999999997
7,Rivers,7034973,3.5000000000000004
8,Jigawa,6779080,3.4000000000000004
9,Niger,6220617,3.1
10,Ogun,5945275,3
11,Sokoto,5863187,2.9000000000000004
12,Benue,5787706,2.9000000000000004
13,Borno,5751590,2.9000000000000004
14,Anambra,5599910,2.8000000000000003
15,Zamfara,5317793,2.6
16,Delta,5307543,2.6
17,Imo,5167722,2.6
18,Kebbi,5001610,2.5
19,Ondo,4969707,2.5
20,Akwa Ibom,4780581,2.4
21,Adamawa,4536948,2.3
22,Edo,4461137,2.1999999999999997
23,Plateau,4400974,2.1999999999999997
24,Enugu,4396098,2.1999999999999997
25,Osun,4237396,2.1
26,Cross River,4175020,2.1
27,Kogi,4153734,2.1
28,Abia,3841943,1.9
29,Gombe,3623462,1.7999999999999998
30,Yobe,3398177,1.7000000000000002
31,Ekiti,3350401,1.7000000000000002
32,Taraba,3331885,1.7000000000000002
33,Kwara,3259613,1.6
34,Ebonyi,3007155,1.5
37,Federal Capital Territory,2702443,1.3
35,Nasarawa,2632239,1.3
36,Bayelsa,2394725,1.2
